Unnamed: 0,rank,artist_names,track_name,peak_rank,weeks_on_chart,streams,archivo
146,147,"Alejo, Feid, ROBI",Pantysito,70,15,302824,Honduras_2022_limpio.csv
147,148,"TINI, Manuel Turizo",Maldita Foto,12,46,302581,Honduras_2022_limpio.csv
148,149,LIT killah,La Trampa es Ley,2,21,301971,Honduras_2022_limpio.csv
149,150,"Duki, Mora",Amor Bipolar,62,2,301295,Honduras_2022_limpio.csv
150,151,Intoxicados,Nunca quise,68,284,299765,Honduras_2022_limpio.csv
151,152,"Mora, Bad Bunny, Sech",Volando - Remix,15,52,297563,Honduras_2022_limpio.csv
152,153,Joji,Glimpse of Us,108,3,294985,Honduras_2022_limpio.csv
153,154,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,3,37,294426,Honduras_2022_limpio.csv
154,155,"Callejero Fino, Alejo Isakk, Locura Mix",Chetos Vs. Turros,98,12,291626,Honduras_2022_limpio.csv
155,156,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),56,59,289130,Honduras_2022_limpio.csv
156,157,"NATTI NATASHA, Daddy Yankee, Wisin & Yandel",Mayor Que Usted,157,2,288983,Honduras_2022_limpio.csv
157,158,"MYA, Emilia",BB,5,32,287148,Honduras_2022_limpio.csv
158,159,"Sebastian Yatra, Myke Towers",Pareja Del Año,2,64,286831,Honduras_2022_limpio.csv
159,160,"Bad Bunny, The Marías",Otro Atardecer,60,9,284538,Honduras_2022_limpio.csv
160,161,YSY A,Vamo a Darle,80,10,281707,Honduras_2022_limpio.csv
161,162,"J Balvin, Bad Bunny",LA CANCIÓN,7,92,280429,Honduras_2022_limpio.csv
162,163,Maria Becerra,Mi Debilidad,3,49,280366,Honduras_2022_limpio.csv
163,164,"Emilia, Tiago PZK",rápido lento,2,40,278440,Honduras_2022_limpio.csv
164,165,Morat,No Se Va,154,8,278094,Honduras_2022_limpio.csv
165,166,j-hope,MORE,166,1,274133,Honduras_2022_limpio.csv
166,167,Harry Styles,Watermelon Sugar,17,121,272521,Honduras_2022_limpio.csv
167,168,"Tirri La Roca, Brisa La Roca",Frontea,168,2,271775,Honduras_2022_limpio.csv
168,169,La K'onga,Convénceme,131,22,270650,Honduras_2022_limpio.csv
169,170,Natalia Lafourcade,Hasta la Raíz,66,35,268150,Honduras_2022_limpio.csv
170,171,"Kaleb Di Masi, Salastkbron, Alejo Isakk, Omar Varela",P rreo,50,19,266323,Honduras_2022_limpio.csv
171,172,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),84,18,264970,Honduras_2022_limpio.csv
172,173,No Te Va Gustar,Ese Maldito Momento,131,39,262279,Honduras_2022_limpio.csv
173,174,Maluma,Sobrio,22,52,262169,Honduras_2022_limpio.csv
174,175,"Maria Becerra, Becky G",Wow Wow (feat. Becky G),1,45,260242,Honduras_2022_limpio.csv
175,176,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",Además de Mí - Remix,1,70,260218,Honduras_2022_limpio.csv
176,177,Harry Styles,Late Night Talking,32,7,258944,Honduras_2022_limpio.csv
177,178,"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2,56,258941,Honduras_2022_limpio.csv
178,179,"Rusherking, Tiago PZK",NOW,8,22,258503,Honduras_2022_limpio.csv
179,180,WOS,ALMA DINAMITA,28,33,256982,Honduras_2022_limpio.csv
180,181,Metallica,Master Of Puppets,181,1,255392,Honduras_2022_limpio.csv
181,182,"Bad Bunny, Jhayco",DÁKITI,1,87,255004,Honduras_2022_limpio.csv
182,183,Turf,Pasos Al Costado,105,228,254788,Honduras_2022_limpio.csv
183,184,"Tiësto, KAROL G",Don't Be Shy,71,46,253911,Honduras_2022_limpio.csv
184,185,"Kaleb Di Masi, Alejo Isakk, Omar Varela",Red Bull Red Label,185,1,253289,Honduras_2022_limpio.csv
185,186,Rauw Alejandro,Cúrame,9,50,252639,Honduras_2022_limpio.csv
186,187,TINI,Acércate,84,8,251585,Honduras_2022_limpio.csv
187,188,Plan B,Es un Secreto,188,1,251533,Honduras_2022_limpio.csv
188,189,"Alejandro Lerner, Rusherking",Después De Ti,126,7,251365,Honduras_2022_limpio.csv
189,190,Ke Personajes,Cómo estás,25,153,250339,Honduras_2022_limpio.csv
190,191,"Duki, Bizarrap",Malbec,10,43,250312,Honduras_2022_limpio.csv
191,192,Ciro y los Persas,Me Gusta,71,283,248155,Honduras_2022_limpio.csv
192,193,Paulo Londra,Tal Vez,1,138,247534,Honduras_2022_limpio.csv
193,194,"TINI, Becky G, Anitta",La Loto,194,1,246132,Honduras_2022_limpio.csv
194,195,Coldplay,Yellow,145,14,245915,Honduras_2022_limpio.csv
195,196,The Police,Every Breath You Take,140,76,244121,Honduras_2022_limpio.csv
196,197,"Alvaro Diaz, Rauw Alejandro",Problemón,35,23,243329,Honduras_2022_limpio.csv
197,198,Paloma Faith,Only Love Can Hurt Like This,192,2,242978,Honduras_2022_limpio.csv
198,199,Bad Bunny,El Apagón,69,9,242815,Honduras_2022_limpio.csv
199,200,FMK,Gatas,117,7,241807,Honduras_2022_limpio.csv
0,1,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,1,9,2448167,México_2022_limpio.csv
1,2,"Bad Bunny, Chencho Corleone",Me Porto Bonito,2,9,2428541,México_2022_limpio.csv
2,3,TINI,La Triple T,1,9,2274392,México_2022_limpio.csv
3,4,Maria Becerra,OJALÁ,2,6,2273286,México_2022_limpio.csv
4,5,"Shakira, Rauw Alejandro",Te Felicito,3,11,2167614,México_2022_limpio.csv
5,6,Bad Bunny,Tití Me Preguntó,6,9,2163518,México_2022_limpio.csv
6,7,Bad Bunny,Moscow Mule,1,9,2024486,México_2022_limpio.csv
7,8,Bad Bunny,Efecto,8,9,1751991,México_2022_limpio.csv
8,9,Duki,Antes de Perderte,7,5,1577188,México_2022_limpio.csv
9,10,KAROL G,PROVENZA,9,11,1463782,México_2022_limpio.csv
10,11,"Sofía Reyes, Maria Becerra",Marte,2,21,1430274,México_2022_limpio.csv
11,12,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),9,5,1422964,México_2022_limpio.csv
12,13,"Emilia, Nicki Nicole",intoxicao,11,6,1382403,México_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,México_2022_limpio.csv
14,15,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",14,4,1308099,México_2022_limpio.csv
15,16,"Emanero, FMK, Rusherking, Estani",BANDIDO,15,6,1278974,México_2022_limpio.csv
16,17,"Rei, Callejero Fino",Tu Turrito,17,9,1260143,México_2022_limpio.csv
17,18,Paulo Londra,Luces,18,1,1228322,México_2022_limpio.csv
18,19,"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,2,14,1190350,México_2022_limpio.csv
19,20,Emilia,cuatro veinte,4,15,1159603,México_2022_limpio.csv
20,21,WOS,ARRANCARMELO,2,14,1153126,México_2022_limpio.csv
21,22,"Rauw Alejandro, Chencho Corleone",Desesperados,1,30,1113190,México_2022_limpio.csv
22,23,"Bad Bunny, Jhayco",Tarot,17,9,1061855,México_2022_limpio.csv
23,24,"La K'onga, Nahuel Pennisi",Universo Paralelo,2,34,1051039,México_2022_limpio.csv
24,25,"Luck Ra, Rusherking",Te Mentiría Remix,13,10,1045743,México_2022_limpio.csv
25,26,Lali,N5,26,2,1018984,México_2022_limpio.csv
26,27,"Cazzu, Maria Becerra",Maléfica,20,7,1017024,México_2022_limpio.csv
27,28,Paulo Londra,Nublado,28,1,999019,México_2022_limpio.csv
28,29,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",1,28,988055,México_2022_limpio.csv
29,30,"TINI, Beéle",Fantasi,5,20,974712,México_2022_limpio.csv
30,31,"Los Ángeles Azules, Nicki Nicole",Otra Noche,10,34,964185,México_2022_limpio.csv
31,32,"Bad Bunny, Rauw Alejandro",Party,17,9,963809,México_2022_limpio.csv
32,33,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),32,7,930772,México_2022_limpio.csv
33,34,TINI,Carne y Hueso,13,7,916477,México_2022_limpio.csv
34,35,"Becky G, KAROL G",MAMIII,10,21,900172,México_2022_limpio.csv
35,36,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],1,27,880597,México_2022_limpio.csv
36,37,Harry Styles,As It Was,6,14,849937,México_2022_limpio.csv
37,38,Kate Bush,Running Up That Hill (A Deal With God),38,6,818514,México_2022_limpio.csv
38,39,"Zion & Lennox, Maria Becerra",Berlin,39,1,816377,México_2022_limpio.csv
39,40,"TINI, Maria Becerra",Miénteme,1,62,789241,México_2022_limpio.csv
40,41,Maria Becerra,Felices x Siempre,11,20,784587,México_2022_limpio.csv
41,42,"FMK, Maria Becerra",Tranquila,3,25,777418,México_2022_limpio.csv
42,43,Paulo Londra,Plan A,1,16,776671,México_2022_limpio.csv
43,44,"Oscu, Nobeat",Numero 1,22,14,775600,México_2022_limpio.csv
44,45,Duki,Perreo Bendito,25,2,775272,México_2022_limpio.csv
45,46,"TINI, L-Gante",Bar,1,34,775166,México_2022_limpio.csv
46,47,"Bizarrap, Paulo Londra","Paulo Londra: Bzrp Music Sessions, Vol. 23",1,11,757596,México_2022_limpio.csv
47,48,"Morat, Duki",París,26,7,742887,México_2022_limpio.csv
48,49,Bad Bunny,Un Ratito,23,9,711124,México_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,México_2022_limpio.csv
50,51,La K'onga,Te Mentiría,14,59,688061,México_2022_limpio.csv
51,52,"LOUTA, WOS",QUEREME,43,3,650578,México_2022_limpio.csv
52,53,"Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52",53,1,650161,México_2022_limpio.csv
53,54,"Perro Primo, EL NOBA, R Jota, Dj Plaga, DT.Bilardo","Yendo No, Llegando",10,26,630643,México_2022_limpio.csv
54,55,Ryan Castro,Jordan,20,20,609933,México_2022_limpio.csv
55,56,"Bad Bunny, Tony Dize",La Corriente,41,9,609681,México_2022_limpio.csv
56,57,"EL NOBA, Callejero Fino, Juanka, L-Gante, Kaleb Di Masi, DT.Bilardo, DINERO EN EL BEAT",Tamo Chelo - Remix,38,5,606378,México_2022_limpio.csv
57,58,Duki,Celosa,34,2,604985,México_2022_limpio.csv
58,59,La K'onga,El Mismo Aire,16,82,580640,México_2022_limpio.csv
59,60,"Julianno Sosa, King Savagge",Cochinae,48,8,572152,México_2022_limpio.csv
60,61,"Mora, Sech",TUS LÁGRIMAS,22,12,561220,México_2022_limpio.csv
61,62,"Trueno, NATHY PELUSO",ARGENTINA,39,8,558538,México_2022_limpio.csv
62,63,Anitta,Envolver,13,18,551115,México_2022_limpio.csv
63,64,Ke Personajes,Si No Te Tengo / Ángel / Aquello Que Pasó,29,43,545032,México_2022_limpio.csv
64,65,"Reik, Maria Becerra",Los Tragos,30,32,530102,México_2022_limpio.csv
65,66,Bad Bunny,Aguacero,48,9,528434,México_2022_limpio.csv
66,67,"Polimá Westcoast, Feid, Pailita, Paloma Mami, De La Ghetto",ULTRA SOLO REMIX,60,3,520227,México_2022_limpio.csv
67,68,Bad Bunny,Después de la Playa,20,9,517020,México_2022_limpio.csv
68,69,Cris Mj,Locura y Maldad,69,4,509726,México_2022_limpio.csv
69,70,Bad Bunny,Yo No Soy Celoso,25,9,509688,México_2022_limpio.csv
70,71,"Rei, Quevedo",FERNET,71,5,497591,México_2022_limpio.csv
71,72,Bad Bunny,Dos Mil 16,42,9,497502,México_2022_limpio.csv
72,73,"La Pantera, Quevedo, Juseph, Abhir Hathi, Bejo, Cruz Cafuné, EL IMA","Cayó La Noche (feat. Cruz Cafuné, Abhir Hathi, Bejo, EL IMA) [Remix]",9,22,490608,México_2022_limpio.csv
73,74,Danny Ocean,Fuera del mercado,24,15,485848,México_2022_limpio.csv
74,75,"Tiago PZK, Trueno",Salimo de Noche,1,37,471961,México_2022_limpio.csv
75,76,Salastkbron,TITAN,2,32,466960,México_2022_limpio.csv
76,77,FMK,De Vacaciones,77,3,466629,México_2022_limpio.csv
77,78,Bad Bunny,Yonaguni,3,57,466283,México_2022_limpio.csv
78,79,"Callejero Fino, Four Plack",Fua Mi Amor,62,10,465183,México_2022_limpio.csv
79,80,"Emilia, Rusherking",De Enero a Diciembre,13,29,455523,México_2022_limpio.csv
80,81,"Tainy, Bad Bunny, Julieta Venegas",Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),20,40,454163,México_2022_limpio.csv
81,82,Bad Bunny,Neverita,35,9,453911,México_2022_limpio.csv
82,83,Bad Bunny,Me Fui de Vacaciones,34,9,452998,México_2022_limpio.csv
83,84,"Duki, KHEA",She Don't Give a Fo,3,128,451711,México_2022_limpio.csv
84,85,"LIT killah, De La Ghetto, L-Gante",KU',39,13,451708,México_2022_limpio.csv
85,86,"Mauri Mansilla, E.C.V",Rkteando,44,13,447669,México_2022_limpio.csv
86,87,"Duki, Emilia",Esto Recién Empieza,5,21,446719,México_2022_limpio.csv
87,88,"zzoilo, Aitana",Mon Amour - Remix,25,42,440183,México_2022_limpio.csv
88,89,La Delio Valdez,Inocente,77,77,425749,México_2022_limpio.csv
89,90,"Duki, YSY A, Rei",Pintao,23,25,416113,México_2022_limpio.csv
90,91,Paulo Londra,Chance,3,14,415367,México_2022_limpio.csv
91,92,EL NOBA,Tamo Chelo,33,45,413635,México_2022_limpio.csv
92,93,"Perro Primo, EL NOBA, Al Records",TRUCHO,26,41,411764,México_2022_limpio.csv
93,94,"Prince Royce, Maria Becerra",Te Espero,67,18,408547,México_2022_limpio.csv
94,95,"Mau y Ricky, Maria Becerra",Mal Acostumbrao - con Maria Becerra,4,44,408047,México_2022_limpio.csv
95,96,Bad Bunny,A Tu Merced,61,30,404867,México_2022_limpio.csv
96,97,"Mora, Feid",LA INOCENTE,97,8,404242,México_2022_limpio.csv
97,98,"Emilia, Duki",como si no importara,2,52,399543,México_2022_limpio.csv
98,99,Duki,TOP 5,3,32,394137,México_2022_limpio.csv
99,100,"Bad Bunny, Buscabulla",Andrea,63,9,390604,México_2022_limpio.csv
100,101,Manuel Turizo,La Bachata,101,4,389273,México_2022_limpio.csv
101,102,Rauw Alejandro,Todo De Ti,1,59,388477,México_2022_limpio.csv
102,103,"Tiago PZK, LIT killah",Entre Nosotros,1,52,386937,México_2022_limpio.csv
103,104,"Elton John, Dua Lipa, PNAU",Cold Heart - PNAU Remix,50,45,386441,México_2022_limpio.csv
104,105,C. Tangana,Demasiadas Mujeres,31,21,371722,México_2022_limpio.csv
105,106,RYH,MDQ,75,10,369995,México_2022_limpio.csv
106,107,"J Balvin, Maria Becerra",Qué Más Pues?,2,58,367362,México_2022_limpio.csv
107,108,Salastkbron,TURROMANTIKO,28,23,365047,México_2022_limpio.csv
108,109,"Blessd, Justin Quiles, Lenny Tavárez",Medallo,19,36,363678,México_2022_limpio.csv
109,110,Bad Bunny,Un Coco,56,9,358381,México_2022_limpio.csv
110,111,Sebastian Yatra,Tacones Rojos,21,37,355730,México_2022_limpio.csv
111,112,Lasso,Ojos Marrones,112,1,351578,México_2022_limpio.csv
112,113,"Rusherking, Maria Becerra",Antes de Ti,1,39,350835,México_2022_limpio.csv
113,114,"Callejero Fino, L-Gante, ECKO, Kaleb Di Masi, Fili Wey, Homer El Mero Mero, John C, Papichamp",Pa Tra Rkt - Remix,31,15,349866,México_2022_limpio.csv
114,115,"FMK, Tiago PZK, Mau y Ricky",Prende la Cámara RMX,47,34,343447,México_2022_limpio.csv
115,116,Standly,Pégate,77,16,341485,México_2022_limpio.csv
116,117,"Ak4:20, Pailita, Cris Mj",Me Arrepentí,117,1,339782,México_2022_limpio.csv
117,118,"DJ Tao, EL NOBA, DT.Bilardo",EL NOBA | DJ TAO Turreo Sessions #7,67,12,339451,México_2022_limpio.csv
118,119,"TINI, Morat",Consejo de Amor (feat. Morat),57,100,337500,México_2022_limpio.csv
119,120,"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,26,54,336720,México_2022_limpio.csv
120,121,Bad Bunny,Un Verano Sin Ti,45,9,335653,México_2022_limpio.csv
121,122,NATHY PELUSO,VIVIR ASÍ ES MORIR DE AMOR,24,30,331950,México_2022_limpio.csv
122,123,Natalie Perez,Detox,66,43,330320,México_2022_limpio.csv
123,124,"Sael, Emilia",Q-Lito,124,1,328932,México_2022_limpio.csv
124,125,"Alejo Isakk, Omar Varela",Diablona,95,9,328853,México_2022_limpio.csv
125,126,Bad Bunny,Enséñame a Bailar,49,9,328293,México_2022_limpio.csv
126,127,Camilo,Pegao,109,7,328012,México_2022_limpio.csv
127,128,"Bad Bunny, Tainy",Callaita,2,73,324779,México_2022_limpio.csv
128,129,La K'onga,Te perdiste mi amor,71,29,323752,México_2022_limpio.csv
129,130,Ingratax,París,13,50,323629,México_2022_limpio.csv
130,131,"Daddy Yankee, Bad Bunny",X ÚLTIMA VEZ,30,15,323524,México_2022_limpio.csv
131,132,Airbag,Por Mil Noches,69,129,322531,México_2022_limpio.csv
132,133,"Maluma, Chencho Corleone",Nos Comemos Vivos,133,4,322471,México_2022_limpio.csv
133,134,"Charlie Puth, Jung Kook, BTS",Left and Right (Feat. Jung Kook of BTS),130,2,320509,México_2022_limpio.csv
134,135,Zion & Lennox,Yo Voy (feat. Daddy Yankee),102,19,319705,México_2022_limpio.csv
135,136,"Alan Gomez, Mesita",MESITA | Mission 05,21,35,319570,México_2022_limpio.csv
136,137,WOS,MELÓN VINO,7,119,317566,México_2022_limpio.csv
137,138,"MYA, TINI, Duki",2:50 Remix,1,55,315108,México_2022_limpio.csv
138,139,Trueno,DANCE CRIP,3,33,314357,México_2022_limpio.csv
139,140,Luis Alberto Spinetta,Seguir Viviendo Sin Tu Amor,58,233,312407,México_2022_limpio.csv
140,141,"Aitana, Nicki Nicole",Formentera,126,28,311145,México_2022_limpio.csv
141,142,"Migrantes, FABRO, Rei, Nico Valdi",Superclásico,123,6,310285,México_2022_limpio.csv
142,143,No Te Va Gustar,A las Nueve,99,184,307574,México_2022_limpio.csv
143,144,Lali,Disciplina,83,10,306591,México_2022_limpio.csv
144,145,"Eladio Carrion, Nicki Nicole",Nota,78,7,303950,México_2022_limpio.csv
145,146,"Camila Cabello, Maria Becerra",Hasta Los Dientes,80,13,303639,México_2022_limpio.csv
146,147,"Alejo, Feid, ROBI",Pantysito,70,15,302824,México_2022_limpio.csv
147,148,"TINI, Manuel Turizo",Maldita Foto,12,46,302581,México_2022_limpio.csv
148,149,LIT killah,La Trampa es Ley,2,21,301971,México_2022_limpio.csv
149,150,"Duki, Mora",Amor Bipolar,62,2,301295,México_2022_limpio.csv
150,151,Intoxicados,Nunca quise,68,284,299765,México_2022_limpio.csv
151,152,"Mora, Bad Bunny, Sech",Volando - Remix,15,52,297563,México_2022_limpio.csv
152,153,Joji,Glimpse of Us,108,3,294985,México_2022_limpio.csv
153,154,"Fuego, Manuel Turizo, Duki",Una Vaina Loca,3,37,294426,México_2022_limpio.csv
154,155,"Callejero Fino, Alejo Isakk, Locura Mix",Chetos Vs. Turros,98,12,291626,México_2022_limpio.csv
155,156,"Calvin Harris, Dua Lipa",One Kiss (with Dua Lipa),56,59,289130,México_2022_limpio.csv
156,157,"NATTI NATASHA, Daddy Yankee, Wisin & Yandel",Mayor Que Usted,157,2,288983,México_2022_limpio.csv
157,158,"MYA, Emilia",BB,5,32,287148,México_2022_limpio.csv
158,159,"Sebastian Yatra, Myke Towers",Pareja Del Año,2,64,286831,México_2022_limpio.csv
159,160,"Bad Bunny, The Marías",Otro Atardecer,60,9,284538,México_2022_limpio.csv
160,161,YSY A,Vamo a Darle,80,10,281707,México_2022_limpio.csv
161,162,"J Balvin, Bad Bunny",LA CANCIÓN,7,92,280429,México_2022_limpio.csv
162,163,Maria Becerra,Mi Debilidad,3,49,280366,México_2022_limpio.csv
163,164,"Emilia, Tiago PZK",rápido lento,2,40,278440,México_2022_limpio.csv
164,165,Morat,No Se Va,154,8,278094,México_2022_limpio.csv
165,166,j-hope,MORE,166,1,274133,México_2022_limpio.csv
166,167,Harry Styles,Watermelon Sugar,17,121,272521,México_2022_limpio.csv
167,168,"Tirri La Roca, Brisa La Roca",Frontea,168,2,271775,México_2022_limpio.csv
168,169,La K'onga,Convénceme,131,22,270650,México_2022_limpio.csv
169,170,Natalia Lafourcade,Hasta la Raíz,66,35,268150,México_2022_limpio.csv
170,171,"Kaleb Di Masi, Salastkbron, Alejo Isakk, Omar Varela",P rreo,50,19,266323,México_2022_limpio.csv
171,172,"Camila Cabello, Ed Sheeran",Bam Bam (feat. Ed Sheeran),84,18,264970,México_2022_limpio.csv
172,173,No Te Va Gustar,Ese Maldito Momento,131,39,262279,México_2022_limpio.csv
173,174,Maluma,Sobrio,22,52,262169,México_2022_limpio.csv
174,175,"Maria Becerra, Becky G",Wow Wow (feat. Becky G),1,45,260242,México_2022_limpio.csv
175,176,"Rusherking, KHEA, Duki, Maria Becerra, LIT killah, Tiago PZK",Además de Mí - Remix,1,70,260218,México_2022_limpio.csv
176,177,Harry Styles,Late Night Talking,32,7,258944,México_2022_limpio.csv
177,178,"BANDIDO, Duki, Rei, Tiago PZK","No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",2,56,258941,México_2022_limpio.csv
178,179,"Rusherking, Tiago PZK",NOW,8,22,258503,México_2022_limpio.csv
179,180,WOS,ALMA DINAMITA,28,33,256982,México_2022_limpio.csv
180,181,Metallica,Master Of Puppets,181,1,255392,México_2022_limpio.csv
181,182,"Bad Bunny, Jhayco",DÁKITI,1,87,255004,México_2022_limpio.csv
182,183,Turf,Pasos Al Costado,105,228,254788,México_2022_limpio.csv
183,184,"Tiësto, KAROL G",Don't Be Shy,71,46,253911,México_2022_limpio.csv
184,185,"Kaleb Di Masi, Alejo Isakk, Omar Varela",Red Bull Red Label,185,1,253289,México_2022_limpio.csv
185,186,Rauw Alejandro,Cúrame,9,50,252639,México_2022_limpio.csv
186,187,TINI,Acércate,84,8,251585,México_2022_limpio.csv
187,188,Plan B,Es un Secreto,188,1,251533,México_2022_limpio.csv
188,189,"Alejandro Lerner, Rusherking",Después De Ti,126,7,251365,México_2022_limpio.csv
189,190,Ke Personajes,Cómo estás,25,153,250339,México_2022_limpio.csv
190,191,"Duki, Bizarrap",Malbec,10,43,250312,México_2022_limpio.csv
191,192,Ciro y los Persas,Me Gusta,71,283,248155,México_2022_limpio.csv
192,193,Paulo Londra,Tal Vez,1,138,247534,México_2022_limpio.csv
193,194,"TINI, Becky G, Anitta",La Loto,194,1,246132,México_2022_limpio.csv
194,195,Coldplay,Yellow,145,14,245915,México_2022_limpio.csv
195,196,The Police,Every Breath You Take,140,76,244121,México_2022_limpio.csv
196,197,"Alvaro Diaz, Rauw Alejandro",Problemón,35,23,243329,México_2022_limpio.csv
197,198,Paloma Faith,Only Love Can Hurt Like This,192,2,242978,México_2022_limpio.csv
198,199,Bad Bunny,El Apagón,69,9,242815,México_2022_limpio.csv
199,200,FMK,Gatas,117,7,241807,México_2022_limpio.csv
0,1,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,1,9,2448167,España_2022_limpio.csv
1,2,"Bad Bunny, Chencho Corleone",Me Porto Bonito,2,9,2428541,España_2022_limpio.csv
2,3,TINI,La Triple T,1,9,2274392,España_2022_limpio.csv
3,4,Maria Becerra,OJALÁ,2,6,2273286,España_2022_limpio.csv
4,5,"Shakira, Rauw Alejandro",Te Felicito,3,11,2167614,España_2022_limpio.csv
5,6,Bad Bunny,Tití Me Preguntó,6,9,2163518,España_2022_limpio.csv
6,7,Bad Bunny,Moscow Mule,1,9,2024486,España_2022_limpio.csv
7,8,Bad Bunny,Efecto,8,9,1751991,España_2022_limpio.csv
8,9,Duki,Antes de Perderte,7,5,1577188,España_2022_limpio.csv
9,10,KAROL G,PROVENZA,9,11,1463782,España_2022_limpio.csv
10,11,"Sofía Reyes, Maria Becerra",Marte,2,21,1430274,España_2022_limpio.csv
11,12,"Tiago PZK, Ozuna",Nos Comemos (feat. Ozuna),9,5,1422964,España_2022_limpio.csv
12,13,"Emilia, Nicki Nicole",intoxicao,11,6,1382403,España_2022_limpio.csv
13,14,Cris Mj,Una Noche en Medellín,4,20,1322825,España_2022_limpio.csv
14,15,"Bizarrap, Villano Antillano","Villano Antillano: Bzrp Music Sessions, Vol. 51",14,4,1308099,España_2022_limpio.csv
15,16,"Emanero, FMK, Rusherking, Estani",BANDIDO,15,6,1278974,España_2022_limpio.csv
16,17,"Rei, Callejero Fino",Tu Turrito,17,9,1260143,España_2022_limpio.csv
17,18,Paulo Londra,Luces,18,1,1228322,España_2022_limpio.csv
18,19,"Duki, De La Ghetto, Quevedo",Si Quieren Frontear,2,14,1190350,España_2022_limpio.csv
19,20,Emilia,cuatro veinte,4,15,1159603,España_2022_limpio.csv
20,21,WOS,ARRANCARMELO,2,14,1153126,España_2022_limpio.csv
21,22,"Rauw Alejandro, Chencho Corleone",Desesperados,1,30,1113190,España_2022_limpio.csv
22,23,"Bad Bunny, Jhayco",Tarot,17,9,1061855,España_2022_limpio.csv
23,24,"La K'onga, Nahuel Pennisi",Universo Paralelo,2,34,1051039,España_2022_limpio.csv
24,25,"Luck Ra, Rusherking",Te Mentiría Remix,13,10,1045743,España_2022_limpio.csv
25,26,Lali,N5,26,2,1018984,España_2022_limpio.csv
26,27,"Cazzu, Maria Becerra",Maléfica,20,7,1017024,España_2022_limpio.csv
27,28,Paulo Londra,Nublado,28,1,999019,España_2022_limpio.csv
28,29,"Bizarrap, Tiago PZK","Tiago PZK: Bzrp Music Sessions, Vol. 48",1,28,988055,España_2022_limpio.csv
29,30,"TINI, Beéle",Fantasi,5,20,974712,España_2022_limpio.csv
30,31,"Los Ángeles Azules, Nicki Nicole",Otra Noche,10,34,964185,España_2022_limpio.csv
31,32,"Bad Bunny, Rauw Alejandro",Party,17,9,963809,España_2022_limpio.csv
32,33,"Chris Jedi, Anuel AA, Chencho Corleone, Ñengo Flow",La Llevo Al Cielo (Ft. Ñengo Flow),32,7,930772,España_2022_limpio.csv
33,34,TINI,Carne y Hueso,13,7,916477,España_2022_limpio.csv
34,35,"Becky G, KAROL G",MAMIII,10,21,900172,España_2022_limpio.csv
35,36,"Tiago PZK, LIT killah, Maria Becerra, Nicki Nicole",Entre Nosotros (Remix) [con Nicki Nicole],1,27,880597,España_2022_limpio.csv
36,37,Harry Styles,As It Was,6,14,849937,España_2022_limpio.csv
37,38,Kate Bush,Running Up That Hill (A Deal With God),38,6,818514,España_2022_limpio.csv
38,39,"Zion & Lennox, Maria Becerra",Berlin,39,1,816377,España_2022_limpio.csv
39,40,"TINI, Maria Becerra",Miénteme,1,62,789241,España_2022_limpio.csv
40,41,Maria Becerra,Felices x Siempre,11,20,784587,España_2022_limpio.csv
41,42,"FMK, Maria Becerra",Tranquila,3,25,777418,España_2022_limpio.csv
42,43,Paulo Londra,Plan A,1,16,776671,España_2022_limpio.csv
43,44,"Oscu, Nobeat",Numero 1,22,14,775600,España_2022_limpio.csv
44,45,Duki,Perreo Bendito,25,2,775272,España_2022_limpio.csv
45,46,"TINI, L-Gante",Bar,1,34,775166,España_2022_limpio.csv
46,47,"Bizarrap, Paulo Londra","Paulo Londra: Bzrp Music Sessions, Vol. 23",1,11,757596,España_2022_limpio.csv
47,48,"Morat, Duki",París,26,7,742887,España_2022_limpio.csv
48,49,Bad Bunny,Un Ratito,23,9,711124,España_2022_limpio.csv
49,50,"Polimá Westcoast, Pailita",ULTRA SOLO,29,10,710940,España_2022_limpio.csv
